Customer_ID,Transaction_ID,High Value Transaction,Repeating Customer,Customer Total Spend,Average Order Value,Purchase Frequency,Purchase Recency,Category Diversity,High/Low Value Customers,Most Revenue Segment,Repeating Behavior Pattern
C3892,T0075,0,1,8589.6474059971,477.20263366650556,18,201.0,9,High Value Customer,31818745.053736106,524.8744898897567
C4545,T0079,1,1,6604.753180612865,471.76808432949036,14,1172.0,6,High Value Customer,31818745.053736106,524.8744898897567
C3707,T0080,1,1,12124.748361144631,551.1249255065742,22,235.0,7,High Value Customer,31818745.053736106,524.8744898897567
C3687,T0081,1,1,7279.3690787726655,454.9605674232916,16,185.0,6,High Value Customer,31818745.053736106,524.8744898897567
C3687,T0082,0,1,7279.3690787726655,454.9605674232916,16,185.0,6,High Value Customer,31818745.053736106,524.8744898897567
C2616,T0083,0,1,8791.665241511613,488.4258467506452,18,134.0,8,High Value Customer,31818745.053736106,524.8744898897567
C722,T0084,1,1,7741.3233917262205,774.1323391726221,10,669.0,5,High Value Customer,31818745.053736106,524.8744898897567
C058,T0086,1,1,6871.09007682594,624.6445524387218,11,98.0,6,High Value Customer,31818745.053736106,524.8744898897567
C4004,T0088,0,1,9601.563795121281,505.3454629011201,19,291.0,7,High Value Customer,31818745.053736106,524.8744898897567
C308,T0090,1,1,5640.243863325505,564.0243863325505,10,627.0,4,High Value Customer,31818745.053736106,524.8744898897567
C3843,T0093,1,1,8857.379498367467,553.5862186479667,16,5.0,8,High Value Customer,31818745.053736106,524.8744898897567
C529,T0095,0,1,3349.304317000898,372.1449241112109,9,1472.0,5,High Value Customer,31818745.053736106,524.8744898897567
C1336,T0096,0,1,7205.882255319897,514.7058753799927,14,18.0,5,High Value Customer,31818745.053736106,524.8744898897567
C1341,T0098,1,1,4946.772105567224,449.7065550515658,11,1325.0,5,High Value Customer,31818745.053736106,524.8744898897567
C3685,T0099,1,1,4499.673070356967,499.9636744841075,9,25.0,4,High Value Customer,31818745.053736106,524.8744898897567
C1810,T0100,0,1,3248.5287328407207,406.0660916050901,8,1168.0,5,High Value Customer,31818745.053736106,524.8744898897567
C2318,T0101,0,1,9366.621594048187,520.3678663360104,18,7.0,5,High Value Customer,31818745.053736106,524.8744898897567
C4239,T0102,0,1,8174.79055296417,510.92440956026064,16,25.0,6,High Value Customer,31818745.053736106,524.8744898897567
C327,T0103,1,1,7851.561892146265,490.72261825914154,16,790.0,5,High Value Customer,31818745.053736106,524.8744898897567
C4574,T0104,0,1,5390.629183584347,539.0629183584347,10,509.0,5,High Value Customer,31818745.053736106,524.8744898897567
C4261,T0105,0,1,3333.5982199838177,416.6997774979772,8,152.0,5,High Value Customer,31818745.053736106,524.8744898897567
C1809,T0109,0,1,5068.218016603563,506.8218016603563,10,362.0,4,High Value Customer,31818745.053736106,524.8744898897567
C1186,T0110,0,1,7764.645899428242,597.2804538021725,13,358.0,5,High Value Customer,31818745.053736106,524.8744898897567
C4249,T0112,0,1,6883.727029505004,529.5174638080772,13,21.0,5,High Value Customer,31818745.053736106,524.8744898897567
C2894,T0113,0,1,3761.5127622305536,376.15127622305533,10,499.0,4,High Value Customer,31818745.053736106,524.8744898897567
C4252,T0114,0,1,5776.447839690636,444.3421415146643,13,553.0,5,High Value Customer,31818745.053736106,524.8744898897567
C3190,T0116,0,1,5619.197939540285,561.9197939540285,10,166.0,5,High Value Customer,31818745.053736106,524.8744898897567
C2778,T0118,0,1,8992.52649348462,562.0329058427888,16,364.0,5,High Value Customer,31818745.053736106,524.8744898897567
C4517,T0120,0,1,8344.521011979949,556.3014007986633,15,892.0,9,High Value Customer,31818745.053736106,524.8744898897567
C2203,T0123,1,1,6862.856294709964,490.2040210507117,14,476.0,7,High Value Customer,31818745.053736106,524.8744898897567
C2837,T0124,0,1,3192.2640380134144,399.0330047516768,8,962.0,5,High Value Customer,31818745.053736106,524.8744898897567
C572,T0126,0,1,10280.859870017037,541.0978878956336,19,157.0,8,High Value Customer,31818745.053736106,524.8744898897567
C3104,T0130,1,1,8872.619409832281,554.5387131145176,16,141.0,7,High Value Customer,31818745.053736106,524.8744898897567
C2556,T0131,0,1,8037.92631287114,502.37039455444625,16,849.0,5,High Value Customer,31818745.053736106,524.8744898897567
C1736,T0132,0,1,4954.260854394354,381.09698879956574,13,21.0,7,High Value Customer,31818745.053736106,524.8744898897567
C2977,T0133,0,1,3961.5371389732027,440.17079321924473,9,140.0,5,High Value Customer,31818745.053736106,524.8744898897567
C820,T0135,1,1,7929.045455955061,660.753787996255,12,395.0,6,High Value Customer,31818745.053736106,524.8744898897567
C4112,T0137,1,1,6821.400872438165,487.2429194598689,14,405.0,5,High Value Customer,31818745.053736106,524.8744898897567
C869,T0140,0,1,7048.586771739874,542.1989824415288,13,185.0,7,High Value Customer,31818745.053736106,524.8744898897567
C4226,T77766,1,1,8757.79154033542,547.3619712709637,16,358.0,5,High Value Customer,31818745.053736106,524.8744898897567
C3555,T0143,1,1,4887.9712025136405,488.79712025136405,10,172.0,5,High Value Customer,31818745.053736106,524.8744898897567
C4891,T0144,0,1,3004.2370231013215,429.1767175859031,7,1361.0,4,High Value Customer,31818745.053736106,524.8744898897567
C3320,T0146,1,1,5113.973209380281,426.1644341150234,12,340.0,6,High Value Customer,31818745.053736106,524.8744898897567
C513,T0148,1,1,7733.591189551293,552.3993706822351,14,703.0,4,High Value Customer,31818745.053736106,524.8744898897567
C3843,T0150,0,1,8857.379498367467,553.5862186479667,16,5.0,8,High Value Customer,31818745.053736106,524.8744898897567
C4252,T0151,0,1,5776.447839690636,444.3421415146643,13,553.0,5,High Value Customer,31818745.053736106,524.8744898897567
C1021,T0153,1,1,3955.504043935234,395.5504043935234,10,252.0,6,High Value Customer,31818745.053736106,524.8744898897567
C3826,T0154,0,1,7246.35863737476,483.090575824984,15,392.0,8,High Value Customer,31818745.053736106,524.8744898897567
C1382,T0155,0,1,6059.207615903714,550.8370559912468,11,389.0,4,High Value Customer,31818745.053736106,524.8744898897567
C2917,T0157,1,1,4673.315076716102,467.3315076716102,10,1003.0,5,High Value Customer,31818745.053736106,524.8744898897567
C4414,T0161,1,1,9800.624762093757,700.0446258638398,14,431.0,6,High Value Customer,31818745.053736106,524.8744898897567
C3287,T17515,1,1,4583.557890376704,458.3557890376704,10,68.0,5,High Value Customer,31818745.053736106,524.8744898897567
C666,T0163,0,1,7928.27040228128,466.3688471930165,17,74.0,5,High Value Customer,31818745.053736106,524.8744898897567
C2345,T0164,1,1,9017.942274019671,601.1961516013114,15,1106.0,4,High Value Customer,31818745.053736106,524.8744898897567
C222,T0166,1,1,4140.355069176711,460.0394521307457,9,136.0,6,High Value Customer,31818745.053736106,524.8744898897567
C2395,T0167,1,1,11750.643623754388,652.8135346530215,18,13.0,7,High Value Customer,31818745.053736106,524.8744898897567
C2741,T0168,1,1,8896.962763973861,494.2757091096589,18,86.0,5,High Value Customer,31818745.053736106,524.8744898897567
C1460,T0169,1,1,4794.302248748449,399.52518739570405,12,26.0,5,High Value Customer,31818745.053736106,524.8744898897567
C872,T0170,1,1,6370.72761102748,637.072761102748,10,125.0,5,High Value Customer,31818745.053736106,524.8744898897567
C3007,T0172,1,1,10161.006851447404,564.5003806359668,18,61.0,6,High Value Customer,31818745.053736106,524.8744898897567
C2195,T0173,1,1,10232.206357333649,568.4559087407583,18,39.0,6,High Value Customer,31818745.053736106,524.8744898897567
C4393,T0175,0,1,3286.246246710442,469.4637495300631,7,1109.0,4,High Value Customer,31818745.053736106,524.8744898897567
C3662,T0177,0,1,6164.995733246784,513.749644437232,12,28.0,6,High Value Customer,31818745.053736106,524.8744898897567
C4160,T0179,0,1,4802.405617902981,480.2405617902981,10,423.0,4,High Value Customer,31818745.053736106,524.8744898897567
C887,T0181,0,1,4183.171351330258,597.5959073328941,7,1004.0,5,High Value Customer,31818745.053736106,524.8744898897567
C4140,T0182,1,1,5636.274417684573,512.3885834258703,11,1142.0,5,High Value Customer,31818745.053736106,524.8744898897567
C3954,T0184,1,1,11929.340273750176,518.6669684239207,23,678.0,8,High Value Customer,31818745.053736106,524.8744898897567
C4308,T0185,0,1,5543.493356497659,326.0878444998623,17,93.0,5,High Value Customer,31818745.053736106,524.8744898897567
C4027,T0186,1,1,10738.202770603184,671.137673162699,16,538.0,7,High Value Customer,31818745.053736106,524.8744898897567
C1159,T0188,1,1,7793.226887362509,487.0766804601568,16,21.0,7,High Value Customer,31818745.053736106,524.8744898897567
C047,T0189,0,1,4052.7594164251177,578.9656309178739,7,897.0,5,High Value Customer,31818745.053736106,524.8744898897567
C4984,T0191,1,1,8016.670163930928,572.6192974236377,14,269.0,6,High Value Customer,31818745.053736106,524.8744898897567
C3191,T0193,0,1,6711.135370363727,516.2411823356713,13,264.0,7,High Value Customer,31818745.053736106,524.8744898897567
C751,T0194,0,1,4131.382776808717,459.04253075652406,9,552.0,6,High Value Customer,31818745.053736106,524.8744898897567
C4563,T0195,1,1,7030.131938818453,468.67546258789685,15,149.0,6,High Value Customer,31818745.053736106,524.8744898897567
C199,T0198,1,1,8767.223115905068,584.4815410603379,15,386.0,6,High Value Customer,31818745.053736106,524.8744898897567
C1561,T0200,0,1,7337.516664384783,489.1677776256522,15,28.0,5,High Value Customer,31818745.053736106,524.8744898897567
C4339,T0201,0,1,2302.5654238810143,460.51308477620285,5,537.0,3,High Value Customer,31818745.053736106,524.8744898897567
C4690,T0204,1,1,7351.171493097761,525.0836780784115,14,90.0,5,High Value Customer,31818745.053736106,524.8744898897567
C2862,T0207,0,1,8451.482668883247,469.5268149379582,18,49.0,7,High Value Customer,31818745.053736106,524.8744898897567
C2862,T0208,1,1,8451.482668883247,469.5268149379582,18,49.0,7,High Value Customer,31818745.053736106,524.8744898897567
C3762,T0211,0,1,10048.013000060706,591.0595882388651,17,118.0,7,High Value Customer,31818745.053736106,524.8744898897567
C3724,T0212,0,1,7419.692608650035,494.64617391000235,15,1040.0,6,High Value Customer,31818745.053736106,524.8744898897567
C2547,T0213,0,1,9737.91463779479,540.9952576552662,18,511.0,7,High Value Customer,31818745.053736106,524.8744898897567
C184,T0217,1,1,8341.14357793067,595.7959698521908,14,771.0,7,High Value Customer,31818745.053736106,524.8744898897567
C3102,T0219,0,1,2416.655881491317,402.7759802485528,6,860.0,4,High Value Customer,31818745.053736106,524.8744898897567
C1613,T0221,0,1,3461.651911025071,384.6279901138968,9,502.0,5,High Value Customer,31818745.053736106,524.8744898897567
C2874,T0222,0,1,4832.772495527536,402.73104129396137,12,1101.0,6,High Value Customer,31818745.053736106,524.8744898897567
C298,T0225,0,1,8430.21027263677,468.34501514648724,18,655.0,5,High Value Customer,31818745.053736106,524.8744898897567
C665,T0229,1,1,3901.2675710375033,557.3239387196434,7,1426.0,3,High Value Customer,31818745.053736106,524.8744898897567
C1387,T0230,1,1,6532.632259465595,466.6165899618282,14,197.0,7,High Value Customer,31818745.053736106,524.8744898897567
C2304,T0232,1,1,4589.099409363696,573.637426170462,8,78.0,5,High Value Customer,31818745.053736106,524.8744898897567
C4286,T0234,1,1,7630.578649343925,545.0413320959946,14,298.0,8,High Value Customer,31818745.053736106,524.8744898897567
C3416,T0239,0,1,6897.787782251077,574.8156485209231,12,339.0,7,High Value Customer,31818745.053736106,524.8744898897567
C2398,T0241,1,1,5366.630856456019,536.6630856456019,10,639.0,4,High Value Customer,31818745.053736106,524.8744898897567
C2493,T0243,1,1,7329.150931930855,563.780840917758,13,290.0,6,High Value Customer,31818745.053736106,524.8744898897567
C2759,T0244,0,1,5140.255280603716,571.139475622635,9,1481.0,5,High Value Customer,31818745.053736106,524.8744898897567
C3759,T0246,1,1,8828.98318323454,735.7485986028784,12,607.0,5,High Value Customer,31818745.053736106,524.8744898897567
C4707,T0247,1,1,4561.575555554765,414.688686868615,11,24.0,4,High Value Customer,31818745.053736106,524.8744898897567
C2496,T0248,0,1,9976.11661622065,586.83038918945,17,187.0,9,High Value Customer,31818745.053736106,524.8744898897567
C1453,T0249,1,1,8806.682156111563,518.0401268300919,17,242.0,9,High Value Customer,31818745.053736106,524.8744898897567
C3631,T0251,1,1,5399.685490852251,490.88049916838645,11,81.0,7,High Value Customer,31818745.053736106,524.8744898897567
C4052,T0252,0,1,5977.808610643971,426.9863293317122,14,706.0,7,High Value Customer,31818745.053736106,524.8744898897567
C1374,T0253,0,1,6919.575904787188,576.6313253989323,12,316.0,5,High Value Customer,31818745.053736106,524.8744898897567
C2859,T0254,0,1,13279.743901075353,531.1897560430141,25,106.0,7,High Value Customer,31818745.053736106,524.8744898897567
C4435,T0255,1,1,7659.612514385537,478.72578214909606,16,86.0,6,High Value Customer,31818745.053736106,524.8744898897567
C4274,T0257,1,1,6369.476933012397,579.0433575465815,11,46.0,5,High Value Customer,31818745.053736106,524.8744898897567
C3240,T0259,0,1,7929.836341881658,609.9874109139737,13,237.0,6,High Value Customer,31818745.053736106,524.8744898897567
C3973,T0260,0,1,8025.04309691609,573.2173640654349,14,254.0,6,High Value Customer,31818745.053736106,524.8744898897567
C3973,T0261,1,1,8025.04309691609,573.2173640654349,14,254.0,6,High Value Customer,31818745.053736106,524.8744898897567
C3570,T0263,0,1,3446.599977768654,430.82499722108173,8,220.0,4,High Value Customer,31818745.053736106,524.8744898897567
C4190,T0264,0,1,13444.75730971205,611.1253322596386,22,219.0,10,High Value Customer,31818745.053736106,524.8744898897567
C2978,T0265,0,1,5317.602743119824,531.7602743119824,10,186.0,3,High Value Customer,31818745.053736106,524.8744898897567
C1796,T0266,1,1,8254.464628749429,550.2976419166285,15,707.0,6,High Value Customer,31818745.053736106,524.8744898897567
C4543,T0267,1,1,15393.00417316655,615.7201669266619,25,78.0,9,High Value Customer,31818745.053736106,524.8744898897567
C2381,T0268,1,1,8345.282621575047,521.5801638484404,16,10.0,7,High Value Customer,31818745.053736106,524.8744898897567
C3990,T0269,1,1,5058.074737990605,459.8249761809641,11,174.0,6,High Value Customer,31818745.053736106,524.8744898897567
C1922,T0273,1,1,5240.6969725279505,655.0871215659938,8,962.0,4,High Value Customer,31818745.053736106,524.8744898897567
C2934,T0274,0,1,5814.2844831682905,528.5713166516628,11,216.0,5,High Value Customer,31818745.053736106,524.8744898897567
C1658,T0275,1,1,5659.21397639194,707.4017470489925,8,989.0,5,High Value Customer,31818745.053736106,524.8744898897567
C3811,T0276,1,1,5625.980203634749,562.5980203634749,10,513.0,6,High Value Customer,31818745.053736106,524.8744898897567
C294,T0279,0,1,3350.6159825683017,335.06159825683017,10,1475.0,7,High Value Customer,31818745.053736106,524.8744898897567
C3173,T0283,0,1,4638.744019436831,515.4160021596479,9,1157.0,5,High Value Customer,31818745.053736106,524.8744898897567
C1301,T0284,1,1,9565.64414840978,503.4549551794621,19,129.0,8,High Value Customer,31818745.053736106,524.8744898897567
C2052,T0285,0,1,2061.0592302612736,294.4370328944677,7,14.0,5,High Value Customer,31818745.053736106,524.8744898897567
C4094,T0288,1,1,7543.3824689211515,471.46140430757197,16,72.0,7,High Value Customer,31818745.053736106,524.8744898897567
C4420,T0290,1,1,6841.63853036279,488.688466454485,14,257.0,6,High Value Customer,31818745.053736106,524.8744898897567
C2928,T0292,0,1,9433.238939890543,554.8964082288555,17,11.0,6,High Value Customer,31818745.053736106,524.8744898897567
C4257,T0293,1,1,6976.254988631859,634.2049989665327,11,71.0,6,High Value Customer,31818745.053736106,524.8744898897567
C1719,T0294,1,1,7814.561552300522,601.1201194077324,13,97.0,8,High Value Customer,31818745.053736106,524.8744898897567
C3275,T0295,1,1,11494.097763571344,638.5609868650747,18,602.0,9,High Value Customer,31818745.053736106,524.8744898897567
C1221,T0296,0,1,7062.820408120036,470.85469387466907,15,351.0,6,High Value Customer,31818745.053736106,524.8744898897567
C3928,T0297,1,1,6170.3187671417745,617.0318767141774,10,325.0,6,High Value Customer,31818745.053736106,524.8744898897567
C1664,T0299,0,1,5014.413606270413,455.8557823882193,11,218.0,5,High Value Customer,31818745.053736106,524.8744898897567
C4785,T0303,1,1,4830.43795193876,483.043795193876,10,159.0,7,High Value Customer,31818745.053736106,524.8744898897567
C1803,T0304,0,1,7320.0908681079945,488.0060578738663,15,89.0,5,High Value Customer,31818745.053736106,524.8744898897567
C1803,T0305,1,1,7320.0908681079945,488.0060578738663,15,89.0,5,High Value Customer,31818745.053736106,524.8744898897567
C1422,T0306,1,1,9889.6964346287,618.1060271642938,16,848.0,6,High Value Customer,31818745.053736106,524.8744898897567
C4222,T0307,0,1,2385.102342663177,298.1377928328971,8,762.0,4,High Value Customer,31818745.053736106,524.8744898897567
C4265,T0308,0,1,7714.769441221715,551.0549600872654,14,125.0,6,High Value Customer,31818745.053736106,524.8744898897567
C656,T0310,0,1,5251.231941280308,437.602661773359,12,1224.0,4,High Value Customer,31818745.053736106,524.8744898897567
C654,T0313,1,1,9555.97925770398,562.1164269237636,17,67.0,5,High Value Customer,31818745.053736106,524.8744898897567
C3587,T0314,0,1,9106.70419186618,535.6884818744811,17,428.0,6,High Value Customer,31818745.053736106,524.8744898897567
C842,T0315,0,1,4258.865808937764,473.20731210419603,9,1145.0,6,High Value Customer,31818745.053736106,524.8744898897567
C4410,T0316,0,1,7706.454809704668,592.8042161311283,13,533.0,7,High Value Customer,31818745.053736106,524.8744898897567
C4635,T0317,1,1,13538.12576168672,588.6141635515966,23,81.0,6,High Value Customer,31818745.053736106,524.8744898897567
C3479,T0319,0,1,5921.862960503658,493.4885800419715,12,131.0,6,High Value Customer,31818745.053736106,524.8744898897567
C694,T0321,0,1,8359.083677277535,557.2722451518356,15,145.0,6,High Value Customer,31818745.053736106,524.8744898897567
C530,T22566,0,1,9495.730595204048,527.5405886224471,18,91.0,6,High Value Customer,31818745.053736106,524.8744898897567
C434,T0325,1,1,8268.020000812252,516.7512500507657,16,426.0,8,High Value Customer,31818745.053736106,524.8744898897567
C4321,T0326,0,1,8735.843047856239,545.9901904910149,16,777.0,7,High Value Customer,31818745.053736106,524.8744898897567
C3474,T0327,1,1,5957.821917616138,496.4851598013449,12,446.0,7,High Value Customer,31818745.053736106,524.8744898897567
C1878,T0328,0,1,10206.289232359908,600.3699548447005,17,115.0,5,High Value Customer,31818745.053736106,524.8744898897567
C4439,T0330,0,1,5370.36029599086,537.0360295990861,10,473.0,4,High Value Customer,31818745.053736106,524.8744898897567
C2256,T0333,1,1,4637.748075979461,579.7185094974326,8,141.0,4,High Value Customer,31818745.053736106,524.8744898897567
C441,T0334,0,1,2775.819260581915,308.42436228687944,9,317.0,6,High Value Customer,31818745.053736106,524.8744898897567
C4468,T0335,1,1,5738.054144096872,521.6412858269883,11,23.0,5,High Value Customer,31818745.053736106,524.8744898897567
C4233,T0337,1,1,7389.309014671972,434.66523615717483,17,253.0,5,High Value Customer,31818745.053736106,524.8744898897567
C4411,T0338,1,1,8634.530446094273,575.6353630729516,15,663.0,7,High Value Customer,31818745.053736106,524.8744898897567
C3229,T0339,0,1,9451.833452012663,590.7395907507914,16,197.0,7,High Value Customer,31818745.053736106,524.8744898897567
C1143,T0340,0,1,6946.640271433471,434.1650169645919,16,237.0,6,High Value Customer,31818745.053736106,524.8744898897567
C2312,T0341,1,1,6285.472999389206,483.49792302993893,13,342.0,7,High Value Customer,31818745.053736106,524.8744898897567
C910,T0342,0,1,7068.868747523495,543.7591344248842,13,493.0,5,High Value Customer,31818745.053736106,524.8744898897567
C3624,T0344,1,1,9956.939893301718,663.7959928867812,15,264.0,8,High Value Customer,31818745.053736106,524.8744898897567
C3956,T0347,0,1,12103.753218351252,637.0396430711186,19,619.0,6,High Value Customer,31818745.053736106,524.8744898897567
C967,T0349,0,1,7738.416902807847,595.2628386775267,13,165.0,4,High Value Customer,31818745.053736106,524.8744898897567
C2080,T0352,1,1,4746.246983466623,527.3607759407358,9,658.0,7,High Value Customer,31818745.053736106,524.8744898897567
C048,T0353,0,1,7366.080913499531,566.6216087307331,13,138.0,5,High Value Customer,31818745.053736106,524.8744898897567
C1559,T0355,1,1,6184.375048187363,687.1527831319293,9,87.0,5,High Value Customer,31818745.053736106,524.8744898897567
C925,T0356,1,1,6485.646143851327,648.5646143851327,10,,7,High Value Customer,31818745.053736106,524.8744898897567
C215,T0358,1,1,9861.855825511191,547.8808791950662,18,405.0,7,High Value Customer,31818745.053736106,524.8744898897567
C3357,T0359,0,1,5526.294702977274,552.6294702977274,10,496.0,5,High Value Customer,31818745.053736106,524.8744898897567
C4712,T66876,1,1,10811.466525917494,569.0245539956576,19,301.0,6,High Value Customer,31818745.053736106,524.8744898897567
C2560,T0364,1,1,5537.019467149127,615.2243852387919,9,460.0,5,High Value Customer,31818745.053736106,524.8744898897567
C2424,T0365,1,1,5168.795950567645,516.8795950567645,10,349.0,4,High Value Customer,31818745.053736106,524.8744898897567
C4370,T0368,1,1,5782.714082898835,642.5237869887594,9,1126.0,5,High Value Customer,31818745.053736106,524.8744898897567
C2751,T0369,1,1,5798.598572055548,579.8598572055548,10,871.0,4,High Value Customer,31818745.053736106,524.8744898897567
C3388,T0371,0,1,6062.145379069385,505.17878158911543,12,1229.0,7,High Value Customer,31818745.053736106,524.8744898897567
C1373,T0372,0,1,5055.293413959019,561.6992682176688,9,220.0,5,High Value Customer,31818745.053736106,524.8744898897567
C1963,T0373,1,1,6922.51675649167,692.251675649167,10,154.0,5,High Value Customer,31818745.053736106,524.8744898897567
C3066,T0375,0,1,4294.4867818614985,477.1651979846109,9,467.0,5,High Value Customer,31818745.053736106,524.8744898897567
C4647,T0376,0,1,4773.656494017645,397.80470783480376,12,466.0,4,High Value Customer,31818745.053736106,524.8744898897567
C3781,T0377,0,1,9150.163411189938,653.5831007992813,14,52.0,6,High Value Customer,31818745.053736106,524.8744898897567
C1333,T0378,1,1,10719.248501715721,564.1709737745117,19,200.0,6,High Value Customer,31818745.053736106,524.8744898897567
C4606,T0379,1,1,4785.586123842844,531.7317915380938,9,185.0,5,High Value Customer,31818745.053736106,524.8744898897567
C3844,T0381,1,1,4920.559427359725,546.7288252621917,9,263.0,5,High Value Customer,31818745.053736106,524.8744898897567
C3844,T0382,0,1,4920.559427359725,546.7288252621917,9,263.0,5,High Value Customer,31818745.053736106,524.8744898897567
C218,T0383,0,1,5662.897744589511,471.9081453824592,12,1065.0,5,High Value Customer,31818745.053736106,524.8744898897567
C1925,T0385,0,1,5458.566602694367,496.23332751766975,11,1690.0,5,High Value Customer,31818745.053736106,524.8744898897567
C3257,T0386,1,1,7231.910007897427,482.12733385982847,15,391.0,7,High Value Customer,31818745.053736106,524.8744898897567
